Jobtitle,Companyname,Locations,Skills
Senior QC Tester,waffarha.com -,"Downtown, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Agile · Automation · Information Technology (IT) · Software Testing · Testing · SQL · ISTQB · Analytical Skills · Automation Testing
Full Stack Developer,Confidential -,"New Cairo, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Full Stack Developer · Mobile Application Development · Mobile Development · Mobile App Development · React Native · Node.js · Software Engineering
IT Section Head,Confidential -,"Obour City, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Mechanical/Electrical · computer · Computer Science · IT Service Management
Senior Security Engineer,Cleopatra Hospitals Group -,"Maadi, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Security
Junior Azure cloud engineer,Efada Technology -,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud Computing · Cloud · DNS · Engineering · Computer Science · Azure Active Directory · Azure · Active Directory
Senior Odoo Developer,Confidential -,"Sidi Gaber, Alexandria, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Odoo Developer · Software Development · senior · Odoo · JavaScript · OOP
Full Stack Developer,Taaly -,"Amsterdam, Netherlands ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Full Stack · Information Technology (IT) · React · Computer Science · Software Development
Web Designer and Developer,ahramat -,"Sheikh Zayed, Giza, Egypt ",Experienced · 2 - 6 Yrs of Exp · Media/Journalism/Publishing · Designer · developer · Web · Web designer · Web Development
Senior software engineer specialized ( Microservices environment),Confidential -,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · MySQL · NoSQL Database
Senior Data Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · AWS · Engineering · Azure · Analysis · Cloud Development · SQL · Data Modeling
Data Engineer Expert (ETL Informatica Tools),BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Data · Engineering · Computer Engineering · Database · Informatica PowerCenter · Informatica ETL · SQL
[Remote] Frontend intern,Freightdog -,"Amsterdam, Netherlands ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Internship · JavaScript · React · Frontend · Software Development · Startup · Computer Science · Github
Application Support Engineer - ITSM/ITOM Solutions,Sanatech Global Solutions -,"Smouha, Alexandria, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · CCNA · Information Technology (IT) · ITIL · MySQL · Linux · BMC Helix Remedyforce · ServiceNow · SolarWinds · Networking
Mechatronics Engineer,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · AutoCAD · CAD · CNC · Automation · Mechatronics · Mechatronics Engineering · Engineering
Web Developer,YASPROMEDIA -,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Media/Journalism/Publishing · Web Development · web developer · developer · Web
Senior .NET Core Developer,Accelerate Digital Transformation - Ultimus Egypt -,"New Cairo, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Science · developer · Development · Engineering · English · Information Technology (IT) · JavaScript
Senior Blockchain Developer,eVision -,"Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Programming
Senior Manual and Automation Quality Control,Confidential -,"Riyadh, Saudi Arabia ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Automation · Automation Testing · Computer Science · ISTQB · Quality Assurance · Quality Control
Infrastructure Engineer,Confidential -,"6th of October, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Infrastructure Engineer · engineer
Full Stack Developer,engisoft engineering -,"Ain Shams, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · HTML · Information Technology (IT) · React · MongoDB · Software Development · JavaScript
Senior PHP Laravel Developer,Confidential -,"Maadi, Cairo, Egypt ",Experienced · 6 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP Laravel · PHP (Laravel) · Senior PHP · Software Development · senior · PHP · laravel developer · Laravel
Initial R&D followed by development of an AI system for creating digital business cards,Creatio -,"Sydney, Australia ",Experienced · 2+ Yrs of Exp · IT/Software Development · AI · Computer Vision · Machine Vision · Artificial Intelligence (AI) · Design
Senior Data Center Engineer - Hyper Converged Implementation,IT Dynamics Integrated Solutions -,"New Cairo, Cairo, Egypt ",Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Center · hyper converged · Vmware · Hyper-V · DevOps · Storage · Servers
Senior Devops Engineer,Wakeb Data -,"Mohandessin, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Docker · DevOps · Software · Azure · Computer Science
IT Manager,The Translation Gate -,"Maadi, Cairo, Egypt ",Manager · 10 - 13 Yrs of Exp · IT/Software Development · Information Technology (IT) · Linux · IT · DevOps · Computer Engineering · Networking · AWS · Linux Operating System · Project Management
Data Analyst,Royal Lab -,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analyst · Information Technology (IT) · Analyst
Software QA Engineer,Ejada  -,"Heliopolis, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Quality Assurance · Software Development · Software · Java · Git · Testing
IT Application Development and Support Engineer,Confidential -,"Sheikh Zayed, Giza, Egypt ",Experienced · 2 - 3 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · software support engineer · Application Development · Software Development · ERP Applications · powerschool · Odoo ERP · Odoo Development
Web Analytics Specialist,scandiweb -,"Alexandria, Egypt ",Experienced · 1+ Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Google Analytics · Google tag manager · Web Analytics
System Administrator,RDI -,"Dokki, Giza, Egypt ",Entry Level · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Network Administration · Information Technology (IT) · Networking · Linux · CCNA · CCNP · System Administration
Software Engineer,Dubenga -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software
"Senior Automation Quality Engineer (Selenium, Appium, REST Assured)",Money Loop  -,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Selenium · QA · quality · Quality Control
Odoo Functional Consultant,Confidential -,"Riyadh, Saudi Arabia ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · ERP · IT · Software · Computer Science · business · Consulting
Software Engineer (kuwait),WorkinVirtual -,"Kuwait City, Kuwait ",Entry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software
Network Engineer - Kuwait,WorkinVirtual -,"Kuwait City, Kuwait ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · Networks · Installation
Senior Full Stack Developer,JOBWORLD INDIA -,"Riyadh, Saudi Arabia ",Experienced · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · CSS · HTML · Full Stack
Junior Backend Developer (Remote),Kreativstorm -,"Tabuk, Saudi Arabia ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · PHP · HTML
Applications Developer,Ezdan Holding Group -,"Doha, Qatar ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Computer Engineering · Engineering · SQL
R&D Engineer III,Rewaa -,"Riyadh, Saudi Arabia ",Entry Level · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · R&amp;D · Science · Engineering · Information Technology (IT) · Computer Science · Research · Pharmacy
IT Support Engineer,Opisok Ortho Specialized Clinic -,"Dubai, United Arab Emirates ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Engineering · Customer Support · Customer Service · Computer Engineering
System Engineer (Application Support),Hamad International Airport -,"Doha, Qatar ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Installation · Software Development
Solutions Architect,Cloudera -,"Riyadh, Saudi Arabia ",Experienced · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Software Development · Solution Architecture
Network Security Engineer,"NTT DATA, Inc. -","Riyadh, Saudi Arabia ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · CCNA · Networks
Senior Software Developer,PayTech Group -,"Doha, Qatar ",Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · SQL · Engineering
Network Security Engineer,NTT -,"Riyadh, Saudi Arabia ",Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Networking · Computer Engineering · CCNA · Networks
Internship - Software Engineer,Rize | رايز -,"Riyadh, Saudi Arabia ",Student · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · Marketing · Information Technology (IT) · Computer Science · Startup · Engineering · Social Media · Communication Skills
Internship - Data Analysis/ Science,Rize | رايز -,"Riyadh, Saudi Arabia ",Student · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · Marketing · Information Technology (IT) · Computer Science · Startup · Engineering · Social Media · Communication Skills
"Bytedance, Graduate Corporate Information System, Dubai, 2025",ByteDance -,"Dubai, United Arab Emirates ",Entry Level · Medical/Healthcare · Sales/Retail · Pharmaceutical · bytedance · innovate · team · tech · stakeholders
Engineering Manager – PO & QA,BSL - BAE Systems Strategic Aerospace Services WLL -,"Doha, Qatar ",Experienced · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Project Management · Civil Engineering · Information Technology (IT) · Mechanical Engineering · Computer Science · Management
Project Analyst,Weee! -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Project/Program Management · Analyst/Research · Project Management · Information Technology (IT) · Computer Science · Business Analysis · Software Development · PMP · Analysis
"Security Consultant, Red Team, Mandiant, Google Cloud",Google Cloud - Minnesota -,"Doha, Qatar ",Experienced · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · ccie · ccnp · computer science · engineering · cybersecurity · software
"Associate, Business Manager",BlackRock -,"Riyadh, Saudi Arabia ",Not specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Marketing · Sales Target · Customer Service · Customer Support
