skill,count
Sales Skills,1
Sales Target,1
Information Technology (IT),1
Customer Support,1
Outdoor Sales,1
Telecommunication,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Python,1
Computer Science,1
Information Technology (IT),1
SQL,1
Data Science,1
Data Scientist,1
Machine Learning,1
Entry Level,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
Data Analysis,1
Analysis,1
Computer Science,1
Information Technology (IT),1
SQL,1
Microsoft Office,1
Microsoft Excel,1
Not specified,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
Engineering,1
Computer Science,1
Information Technology (IT),1
Mechanical Engineering,1
Production,1
Software Engineering,1
Software Development,1
Experienced,1
1 - 5 Yrs of Exp,1
IT/Software Development,1
Information Technology (IT),1
Software Development,1
Finance,1
Experienced,1
1 - 4 Yrs of Exp,1
Administration,1
IT/Software Development,1
Odoo,1
Programming,1
Software Development,1
Software,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Odoo Development,1
Odoo ERP,1
Information Technology (IT),1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Agile,1
Jenkins,1
Software Development,1
Kubernetes,1
Experienced,1
2 - 4 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Engineering - Telecom/Technology,1
BI,1
Analysis,1
Computer Science,1
Data Analysis,1
Engineering,1
Information Technology (IT),1
Power BI,1
Experienced,1
2 - 4 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
PHP,1
Experienced,1
2 - 7 Yrs of Exp,1
IT/Software Development,1
Quality,1
QA,1
JIRA,1
Bugzilla,1
Quality Assurance,1
Cypress,1
Selenium,1
React Native,1
Firebase,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Angular,1
Computer Science,1
React,1
HTML,1
.Net,1
Node.js,1
CSS,1
JavaScript,1
Experienced,1
2 - 10 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
computer,1
Networks,1
Computer Engineering,1
Engineering,1
Network,1
Experienced,1
3 - 5 Yrs of Exp,1
males_only,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Software,1
Communication,1
computer,1
Computer Science,1
Databases,1
Help desk,1
Information technology,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Training/Instructor,1
Instructor,1
Training,1
Oracle,1
Microsoft SQL Server,1
Manager,1
5 - 10 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Full Stack,1
Computer Science,1
Information Technology (IT),1
JavaScript,1
React,1
Java,1
CSS,1
Software Development,1
Entry Level,1
1 - 4 Yrs of Exp,1
Education/Teaching,1
Computer Science,1
Information Technology (IT),1
Programming,1
Web Development,1
Education,1
PHP Web Development,1
Experienced,1
4 - 12 Yrs of Exp,1
Creative/Design/Art,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Full Stack,1
Laravel Framework,1
Web Development,1
Experienced,1
3 - 10 Yrs of Exp,1
Engineering - Construction/Civil/Architecture,1
IT/Software Development,1
Engineering - Mechanical/Electrical,1
Electrical Engineering,1
Smart Home,1
Programming,1
Computer Science,1
Automation,1
Customer Service,1
Engineering,1
Experienced,1
3 - 20 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
JavaScript,1
Full Stack,1
Angular,1
Computer Science,1
CSS,1
HTML,1
Information Technology (IT),1
Java,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
DevOps,1
Information Technology (IT),1
Docker,1
Cloud,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
Simulation,1
Programming,1
Unreal Engine,1
Game development,1
Sensors,1
c++,1
Experienced,1
1 - 15 Yrs of Exp,1
IT/Software Development,1
HTML,1
JavaScript,1
PHP,1
MySQL,1
Information Technology (IT),1
Git,1
Computer Science,1
Angular,1
Software Development,1
Experienced,1
1 - 2 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Angular,1
CSS,1
Full Stack,1
Software Development,1
HTML,1
Information Technology (IT),1
Java,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
data labeling,1
English,1
Skills,1
Software Engineering,1
"#data",1
Artificial Intelligence,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Angular,1
Computer Science,1
CSS,1
Full Stack,1
Information Technology (IT),1
Java,1
JavaScript,1
React,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
SQL,1
J2EE,1
JSP,1
JSF,1
Software Development,1
Web Development,1
Computer Science,1
Information Technology (IT),1
Experienced,1
5 - 7 Yrs of Exp,1
IT/Software Development,1
Agile,1
Automation,1
Information Technology (IT),1
Software Testing,1
Testing,1
SQL,1
ISTQB,1
Analytical Skills,1
Automation Testing,1
Experienced,1
3 - 10 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Full Stack Developer,1
Mobile Application Development,1
Mobile Development,1
Mobile App Development,1
React Native,1
Node.js,1
Software Engineering,1
Entry Level,1
0 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Cloud Computing,1
Cloud,1
DNS,1
Engineering,1
Computer Science,1
Azure Active Directory,1
Azure,1
Active Directory,1
Experienced,1
4 - 6 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Engineering,1
Security,1
Experienced,1
5 - 7 Yrs of Exp,1
IT/Software Development,1
Engineering - Mechanical/Electrical,1
computer,1
Computer Science,1
IT Service Management,1
Experienced,1
3 - 7 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
Information Technology (IT),1
Odoo Developer,1
Software Development,1
senior,1
Odoo,1
JavaScript,1
OOP,1
Experienced,1
3+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
JavaScript,1
Full Stack,1
Information Technology (IT),1
React,1
Computer Science,1
Software Development,1
Experienced,1
2 - 6 Yrs of Exp,1
Media/Journalism/Publishing,1
Designer,1
developer,1
Web,1
Web designer,1
Web Development,1
Experienced,1
5+ Yrs of Exp,1
IT/Software Development,1
Data,1
Engineering,1
Computer Engineering,1
Database,1
Informatica PowerCenter,1
Informatica ETL,1
SQL,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
MySQL,1
NoSQL Database,1
Experienced,1
6 - 10 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
AWS,1
Engineering,1
Azure,1
Analysis,1
Cloud Development,1
SQL,1
Data Modeling,1
Entry Level,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Internship,1
JavaScript,1
React,1
Frontend,1
Software Development,1
Startup,1
Computer Science,1
Github,1
Experienced,1
1 - 3 Yrs of Exp,1
Installation/Maintenance/Repair,1
Engineering - Mechanical/Electrical,1
AutoCAD,1
CAD,1
CNC,1
Automation,1
Mechatronics,1
Mechatronics Engineering,1
Engineering,1
Experienced,1
2 - 4 Yrs of Exp,1
IT/Software Development,1
CCNA,1
Information Technology (IT),1
ITIL,1
MySQL,1
Linux,1
BMC Helix Remedyforce,1
ServiceNow,1
SolarWinds,1
Networking,1
Experienced,1
3 - 5 Yrs of Exp,1
Media/Journalism/Publishing,1
Web Development,1
web developer,1
developer,1
Web,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
computer,1
Computer Science,1
developer,1
Development,1
Engineering,1
English,1
Information Technology (IT),1
JavaScript,1
Experienced,1
5 - 8 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
Information Technology (IT),1
Programming,1
Experienced,1
3 - 5 Yrs of Exp,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Agile,1
Automation,1
Automation Testing,1
Computer Science,1
ISTQB,1
Quality Assurance,1
Quality Control,1
Experienced,1
3 - 5 Yrs of Exp,1
Engineering - Construction/Civil/Architecture,1
Engineering,1
Infrastructure Engineer,1
engineer,1
Entry Level,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Computer Science,1
CSS,1
HTML,1
Information Technology (IT),1
React,1
MongoDB,1
Software Development,1
JavaScript,1
Experienced,1
2+ Yrs of Exp,1
IT/Software Development,1
AI,1
Computer Vision,1
Machine Vision,1
Artificial Intelligence (AI),1
Design,1
Experienced,1
6 - 8 Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
PHP Laravel,1
PHP (Laravel),1
Senior PHP,1
Software Development,1
senior,1
PHP,1
laravel developer,1
Laravel,1
Experienced,1
4+ Yrs of Exp,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Data Center,1
hyper converged,1
Vmware,1
Hyper-V,1
DevOps,1
Storage,1
Servers,1
Experienced,1
2 - 5 Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Docker,1
DevOps,1
Software,1
Azure,1
Computer Science,1
Manager,1
10 - 13 Yrs of Exp,1
IT/Software Development,1
Information Technology (IT),1
Linux,1
IT,1
DevOps,1
Computer Engineering,1
Networking,1
AWS,1
Linux Operating System,1
Project Management,1
Experienced,1
4 - 5 Yrs of Exp,1
IT/Software Development,1
Analyst/Research,1
Data Analyst,1
Information Technology (IT),1
Analyst,1
Experienced,1
4 - 6 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
Information Technology (IT),1
Quality Assurance,1
Software Development,1
Software,1
Java,1
Git,1
Testing,1
Experienced,1
2 - 3 Yrs of Exp,1
males_only,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
software support engineer,1
Application Development,1
Software Development,1
ERP Applications,1
powerschool,1
Odoo ERP,1
Odoo Development,1
Experienced,1
1+ Yrs of Exp,1
IT/Software Development,1
Marketing/PR/Advertising,1
Google Analytics,1
Google tag manager,1
Web Analytics,1
Entry Level,1
2+ Yrs of Exp,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Network Administration,1
Information Technology (IT),1
Networking,1
Linux,1
CCNA,1
CCNP,1
System Administration,1
Entry Level,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
Engineering,1
Computer Engineering,1
Software,1
Experienced,1
5 - 8 Yrs of Exp,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Automation,1
Automation Testing,1
Computer Science,1
Selenium,1
QA,1
quality,1
Quality Control,1
Experienced,1
2 - 5 Yrs of Exp,1
IT/Software Development,1
Information Technology (IT),1
ERP,1
IT,1
Software,1
Computer Science,1
business,1
Consulting,1
Entry Level,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
Engineering,1
Computer Engineering,1
Software,1
Entry Level,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Engineering,1
Networking,1
Computer Engineering,1
Networks,1
Installation,1
Experienced,1
Creative/Design/Art,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
javaScript,1
CSS,1
HTML,1
Full Stack,1
Entry Level,1
Creative/Design/Art,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
javaScript,1
PHP,1
HTML,1
Experienced,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
Computer Engineering,1
Engineering,1
SQL,1
Entry Level,1
R&D/Science,1
IT/Software Development,1
Engineering - Telecom/Technology,1
R&amp;D,1
Science,1
Engineering,1
Information Technology (IT),1
Computer Science,1
Research,1
Pharmacy,1
Entry Level,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Technical Support,1
Engineering,1
Customer Support,1
Customer Service,1
Computer Engineering,1
Entry Level,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Engineering,1
Computer Engineering,1
Software Engineering,1
Installation,1
Software Development,1
Entry Level,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Engineering,1
Networking,1
Computer Engineering,1
CCNA,1
Networks,1
Experienced,1
IT/Software Development,1
Quality,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
javaScript,1
SQL,1
Engineering,1
Entry Level,1
Installation/Maintenance/Repair,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Engineering,1
Networking,1
Computer Engineering,1
CCNA,1
Networks,1
Student,1
IT/Software Development,1
Marketing/PR/Advertising,1
Engineering - Telecom/Technology,1
Marketing,1
Information Technology (IT),1
Computer Science,1
Startup,1
Engineering,1
Social Media,1
Communication Skills,1
Student,1
IT/Software Development,1
Marketing/PR/Advertising,1
Engineering - Telecom/Technology,1
Marketing,1
Information Technology (IT),1
Computer Science,1
Startup,1
Engineering,1
Social Media,1
Communication Skills,1
Entry Level,1
Medical/Healthcare,1
Sales/Retail,1
Pharmaceutical,1
bytedance,1
innovate,1
team,1
tech,1
stakeholders,1
Experienced,1
IT/Software Development,1
Project/Program Management,1
Analyst/Research,1
Project Management,1
Information Technology (IT),1
Computer Science,1
Business Analysis,1
Software Development,1
PMP,1
Analysis,1
Experienced,1
Engineering - Construction/Civil/Architecture,1
Engineering - Telecom/Technology,1
Engineering - Mechanical/Electrical,1
Engineering,1
Project Management,1
Civil Engineering,1
Information Technology (IT),1
Mechanical Engineering,1
Computer Science,1
Management,1
Experienced,1
Customer Service/Support,1
IT/Software Development,1
Engineering - Telecom/Technology,1
information technology (it),1
ccie,1
ccnp,1
computer science,1
engineering,1
cybersecurity,1
software,1
Entry Level,1
Creative/Design/Art,1
IT/Software Development,1
Engineering - Telecom/Technology,1
Information Technology (IT),1
Computer Science,1
Software Development,1
Software Engineering,1
Back-End,1
Engineering,1
PHP,1
Not specified,1
Business Development,1
Marketing/PR/Advertising,1
Sales/Retail,1
Business Development,1
Sales,1
Sales Skills,1
Marketing,1
Sales Target,1
Customer Service,1
Customer Support,1
